total_cas,new_cas,stringency,popul,med_age,aged_65,aged_70,poverty,expectancy,hospital_beds,sanitizer_facil
234509,2691,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
237489,2980,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
240848,3359,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
243599,2751,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
246351,2752,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
248872,2521,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
251625,2753,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
253604,1979,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
255769,2165,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
257914,2145,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
257914,0,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
261917,4003,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
263496,1579,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
265083,1587,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
266096,1013,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
267428,1332,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
269191,1763,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
270400,1209,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
271887,1487,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
273113,1226,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
273113,0,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
274289,1176,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
275225,936,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
276288,1063,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
277402,1114,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
278305,903,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
278305,0,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
279699,1394,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
280461,762,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
280461,0,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
281136,675,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
281863,727,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
282645,782,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
283487,842,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
284121,634,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
284660,539,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
285191,531,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
285921,730,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
286674,753,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
287300,626,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
288047,747,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
289215,1168,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
289215,0,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
289832,617,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
290445,613,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
290958,513,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
291588,630,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
292174,586,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
293261,1087,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
293261,0,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
293711,450,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
294193,482,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
294638,445,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
295053,415,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
295372,319,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
295636,264,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
295849,213,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
296149,300,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
297014,865,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
297512,498,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
298025,513,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
298025,0,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
298903,878,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
299233,330,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
299659,426,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
300030,371,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
300371,341,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
300955,584,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
301481,526,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
302020,539,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
302424,404,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
303089,665,43.98,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
303634,545,43.98,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
304386,752,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
305031,645,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
305671,640,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
306304,633,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
306886,582,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
307418,532,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
308217,799,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
309015,798,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
309581,566,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
310275,694,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
310841,566,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
311516,675,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
312263,747,41.2,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
312806,543,39.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
313431,625,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
313984,553,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
314616,632,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
314616,0,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
315727,1111,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
316351,624,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
316934,583,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
317595,661,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
318266,671,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
318932,666,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
319317,385,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
319848,531,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
320463,615,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
321218,755,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
321877,659,67.13,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
322452,575,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
323019,567,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
323452,433,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
324034,582,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
324744,710,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
325480,736,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
326216,736,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
327063,847,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
327895,832,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
328602,707,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
329375,773,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
330200,825,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
331108,908,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
332186,1078,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
332993,807,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
333970,977,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
335093,1123,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
336260,1167,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
337573,1313,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
338875,1302,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
