location,date,total_cases,cardiovasc_death_rate,total_deaths,handwashing_facilities,total_cases_per_million
Pakistan,4/29/2020,16817,423.031,385.0,59.607,76.132
Pakistan,4/30/2020,18114,423.031,417.0,59.607,82.004
Pakistan,5/1/2020,19103,423.031,440.0,59.607,86.481
Pakistan,5/2/2020,20084,423.031,457.0,59.607,90.922
Pakistan,5/3/2020,20941,423.031,476.0,59.607,94.802
Pakistan,5/4/2020,22049,423.031,514.0,59.607,99.818
Pakistan,5/5/2020,24073,423.031,564.0,59.607,108.981
Pakistan,5/6/2020,24644,423.031,585.0,59.607,111.566
Pakistan,5/7/2020,26435,423.031,599.0,59.607,119.674
Pakistan,5/8/2020,28736,423.031,636.0,59.607,130.091
Pakistan,5/9/2020,30334,423.031,659.0,59.607,137.325
Pakistan,5/10/2020,32081,423.031,706.0,59.607,145.234
Pakistan,5/11/2020,34336,423.031,737.0,59.607,155.442
Pakistan,5/12/2020,35298,423.031,761.0,59.607,159.797
Pakistan,5/13/2020,35788,423.031,770.0,59.607,162.016
Pakistan,5/14/2020,38799,423.031,834.0,59.607,175.647
Pakistan,5/15/2020,38799,423.031,834.0,59.607,175.647
Pakistan,5/16/2020,40151,423.031,873.0,59.607,181.767
Pakistan,5/17/2020,42125,423.031,903.0,59.607,190.704
Pakistan,5/18/2020,43966,423.031,939.0,59.607,199.038
Pakistan,5/19/2020,45898,423.031,985.0,59.607,207.784
Pakistan,5/20/2020,48091,423.031,1017.0,59.607,217.712
Pakistan,5/21/2020,50694,423.031,1067.0,59.607,229.496
Pakistan,5/22/2020,52437,423.031,1101.0,59.607,237.387
Pakistan,5/23/2020,54601,423.031,1133.0,59.607,247.184
Pakistan,5/24/2020,56349,423.031,1167.0,59.607,255.097
Pakistan,5/25/2020,57705,423.031,1197.0,59.607,261.236
Pakistan,5/26/2020,59151,423.031,1225.0,59.607,267.782
Pakistan,5/27/2020,61227,423.031,1260.0,59.607,277.18
Pakistan,5/28/2020,64028,423.031,1317.0,59.607,289.861
Pakistan,5/29/2020,66457,423.031,1395.0,59.607,300.857
Pakistan,5/30/2020,69496,423.031,1483.0,59.607,314.615
Pakistan,5/31/2020,72460,423.031,1543.0,59.607,328.033
Pakistan,6/1/2020,76398,423.031,1621.0,59.607,345.861
Pakistan,6/2/2020,80463,423.031,1688.0,59.607,364.263
Pakistan,6/3/2020,85264,423.031,1770.0,59.607,385.998
Pakistan,6/4/2020,89249,423.031,1838.0,59.607,404.038
Pakistan,6/5/2020,93983,423.031,1935.0,59.607,425.47
Pakistan,6/6/2020,98943,423.031,2002.0,59.607,447.924
Pakistan,6/7/2020,103671,423.031,2067.0,59.607,469.328
Pakistan,6/8/2020,108317,423.031,2172.0,59.607,490.361
Pakistan,6/9/2020,113702,423.031,2255.0,59.607,514.739
Pakistan,6/10/2020,119536,423.031,2356.0,59.607,541.151
Pakistan,6/11/2020,125933,423.031,2463.0,59.607,570.11
Pakistan,6/12/2020,125933,423.031,2463.0,59.607,570.11
Pakistan,6/13/2020,132405,423.031,2551.0,59.607,599.41
Pakistan,6/14/2020,144478,423.031,2729.0,59.607,654.065
Pakistan,6/15/2020,148921,423.031,2839.0,59.607,674.179
Pakistan,6/16/2020,154760,423.031,2975.0,59.607,700.613
Pakistan,6/17/2020,160118,423.031,3093.0,59.607,724.869
Pakistan,6/18/2020,165062,423.031,3229.0,59.607,747.251
Pakistan,6/19/2020,171666,423.031,3382.0,59.607,777.148
Pakistan,6/20/2020,176617,423.031,3501.0,59.607,799.561
Pakistan,6/21/2020,181088,423.031,3590.0,59.607,819.802
Pakistan,6/22/2020,185034,423.031,3695.0,59.607,837.666
Pakistan,6/23/2020,188926,423.031,3755.0,59.607,855.285
Pakistan,6/24/2020,192970,423.031,3903.0,59.607,873.593
Pakistan,6/25/2020,195745,423.031,3962.0,59.607,886.156
Pakistan,6/26/2020,198883,423.031,4035.0,59.607,900.362
Pakistan,6/27/2020,202955,423.031,4118.0,59.607,918.796
Pakistan,6/28/2020,206512,423.031,4167.0,59.607,934.899
Pakistan,6/29/2020,209337,423.031,4304.0,59.607,947.688
Pakistan,6/30/2020,213470,423.031,4395.0,59.607,966.398
Pakistan,7/1/2020,217809,423.031,4473.0,59.607,986.041
Pakistan,7/2/2020,221896,423.031,4551.0,59.607,1004.544
Pakistan,7/3/2020,221896,423.031,4551.0,59.607,1004.544
Pakistan,7/4/2020,225283,423.031,4619.0,59.607,1019.877
Pakistan,7/5/2020,231818,423.031,4762.0,59.607,1049.462
Pakistan,7/6/2020,234509,423.031,4839.0,59.607,1061.644
Pakistan,7/7/2020,237489,423.031,4922.0,59.607,1075.135
Pakistan,7/8/2020,240848,423.031,4983.0,59.607,1090.341
Pakistan,7/9/2020,243599,423.031,5058.0,59.607,1102.795
Pakistan,7/10/2020,246351,423.031,5123.0,59.607,1115.254
Pakistan,7/11/2020,248872,423.031,5197.0,59.607,1126.667
Pakistan,7/12/2020,251625,423.031,5266.0,59.607,1139.13
Pakistan,7/13/2020,253604,423.031,5320.0,59.607,1148.089
Pakistan,7/14/2020,255769,423.031,5386.0,59.607,1157.89
Pakistan,7/15/2020,257914,423.031,5426.0,59.607,1167.601
Pakistan,7/16/2020,257914,423.031,5426.0,59.607,1167.601
Pakistan,7/17/2020,261917,423.031,5522.0,59.607,1185.722
Pakistan,7/18/2020,263496,423.031,5568.0,59.607,1192.871
Pakistan,7/19/2020,265083,423.031,5599.0,59.607,1200.055
Pakistan,7/20/2020,266096,423.031,5639.0,59.607,1204.641
Pakistan,7/21/2020,267428,423.031,5677.0,59.607,1210.671
Pakistan,7/22/2020,269191,423.031,5709.0,59.607,1218.653
Pakistan,7/23/2020,270400,423.031,5763.0,59.607,1224.126
Pakistan,7/24/2020,271887,423.031,5787.0,59.607,1230.858
Pakistan,7/25/2020,273113,423.031,5822.0,59.607,1236.408
Pakistan,7/26/2020,273113,423.031,5822.0,59.607,1236.408
Pakistan,7/27/2020,274289,423.031,5842.0,59.607,1241.732
Pakistan,7/28/2020,275225,423.031,5865.0,59.607,1245.969
Pakistan,7/29/2020,276288,423.031,5892.0,59.607,1250.781
Pakistan,7/30/2020,277402,423.031,5924.0,59.607,1255.824
Pakistan,7/31/2020,278305,423.031,5951.0,59.607,1259.912
Pakistan,8/1/2020,278305,423.031,5951.0,59.607,1259.912
Pakistan,8/2/2020,279699,423.031,5976.0,59.607,1266.223
Pakistan,8/3/2020,280461,423.031,5999.0,59.607,1269.673
Pakistan,8/4/2020,280461,423.031,5999.0,59.607,1269.673
Pakistan,8/5/2020,281136,423.031,6014.0,59.607,1272.729
Pakistan,8/6/2020,281863,423.031,6035.0,59.607,1276.02
Pakistan,8/7/2020,282645,423.031,6052.0,59.607,1279.56
Pakistan,8/8/2020,283487,423.031,6068.0,59.607,1283.372
Pakistan,8/9/2020,284121,423.031,6082.0,59.607,1286.242
Pakistan,8/10/2020,284660,423.031,6097.0,59.607,1288.682
Pakistan,8/11/2020,285191,423.031,6112.0,59.607,1291.086
Pakistan,8/12/2020,285921,423.031,6129.0,59.607,1294.391
Pakistan,8/13/2020,286674,423.031,6139.0,59.607,1297.8
Pakistan,8/14/2020,287300,423.031,6153.0,59.607,1300.634
Pakistan,8/15/2020,288047,423.031,6162.0,59.607,1304.015
Pakistan,8/16/2020,289215,423.031,6175.0,59.607,1309.303
Pakistan,8/17/2020,289215,423.031,6175.0,59.607,1309.303
Pakistan,8/18/2020,289832,423.031,6190.0,59.607,1312.096
Pakistan,8/19/2020,290445,423.031,6201.0,59.607,1314.871
Pakistan,8/20/2020,290958,423.031,6209.0,59.607,1317.194
Pakistan,8/21/2020,291588,423.031,6219.0,59.607,1320.046
Pakistan,8/22/2020,292174,423.031,6231.0,59.607,1322.699
Pakistan,8/23/2020,293261,423.031,6244.0,59.607,1327.62
Pakistan,8/24/2020,293261,423.031,6244.0,59.607,1327.62
Pakistan,8/25/2020,293711,423.031,6255.0,59.607,1329.657
Pakistan,8/26/2020,294193,423.031,6267.0,59.607,1331.839
Pakistan,8/27/2020,294638,423.031,6274.0,59.607,1333.853
Pakistan,8/28/2020,295053,423.031,6283.0,59.607,1335.732
Pakistan,8/29/2020,295372,423.031,6284.0,59.607,1337.176
Pakistan,8/30/2020,295636,423.031,6288.0,59.607,1338.371
Pakistan,8/31/2020,295849,423.031,6294.0,59.607,1339.336
Pakistan,9/1/2020,296149,423.031,6298.0,59.607,1340.694
Pakistan,9/2/2020,297014,423.031,6328.0,59.607,1344.61
Pakistan,9/3/2020,297512,423.031,6335.0,59.607,1346.864
Pakistan,9/4/2020,298025,423.031,6340.0,59.607,1349.187
Pakistan,9/5/2020,298025,423.031,6340.0,59.607,1349.187
Pakistan,9/6/2020,298903,423.031,6345.0,59.607,1353.162
Pakistan,9/7/2020,299233,423.031,6350.0,59.607,1354.655
Pakistan,9/8/2020,299659,423.031,6359.0,59.607,1356.584
Pakistan,9/9/2020,300030,423.031,6365.0,59.607,1358.264
Pakistan,9/10/2020,300371,423.031,6370.0,59.607,1359.807
Pakistan,9/11/2020,300955,423.031,6373.0,59.607,1362.451
Pakistan,9/12/2020,301481,423.031,6379.0,59.607,1364.832
Pakistan,9/13/2020,302020,423.031,6383.0,59.607,1367.272
Pakistan,9/14/2020,302424,423.031,6389.0,59.607,1369.101
Pakistan,9/15/2020,303089,423.031,6393.0,59.607,1372.112
Pakistan,9/16/2020,303634,423.031,6399.0,59.607,1374.579
Pakistan,9/17/2020,304386,423.031,6408.0,59.607,1377.984
Pakistan,9/18/2020,305031,423.031,6415.0,59.607,1380.904
Pakistan,9/19/2020,305671,423.031,6416.0,59.607,1383.801
Pakistan,9/20/2020,306304,423.031,6420.0,59.607,1386.667
Pakistan,9/21/2020,306886,423.031,6424.0,59.607,1389.301
Pakistan,9/22/2020,307418,423.031,6432.0,59.607,1391.71
Pakistan,9/23/2020,308217,423.031,6437.0,59.607,1395.327
Pakistan,9/24/2020,309015,423.031,6444.0,59.607,1398.939
Pakistan,9/25/2020,309581,423.031,6451.0,59.607,1401.502
Pakistan,9/26/2020,310275,423.031,6457.0,59.607,1404.644
Pakistan,9/27/2020,310841,423.031,6466.0,59.607,1407.206
Pakistan,9/28/2020,311516,423.031,6474.0,59.607,1410.262
Pakistan,9/29/2020,312263,423.031,6479.0,59.607,1413.643
Pakistan,9/30/2020,312806,423.031,6484.0,59.607,1416.102
Pakistan,10/1/2020,313431,423.031,6499.0,59.607,1418.931
Pakistan,10/2/2020,313984,423.031,6507.0,59.607,1421.435
Pakistan,10/3/2020,314616,423.031,6513.0,59.607,1424.296
Pakistan,10/4/2020,314616,423.031,6513.0,59.607,1424.296
Pakistan,10/5/2020,315727,423.031,6523.0,59.607,1429.325
Pakistan,10/6/2020,316351,423.031,6535.0,59.607,1432.15
Pakistan,10/7/2020,316934,423.031,6544.0,59.607,1434.79
Pakistan,10/8/2020,317595,423.031,6552.0,59.607,1437.782
Pakistan,10/9/2020,318266,423.031,6558.0,59.607,1440.82
Pakistan,10/10/2020,318932,423.031,6570.0,59.607,1443.835
Pakistan,10/11/2020,319317,423.031,6580.0,59.607,1445.578
Pakistan,10/12/2020,319848,423.031,6588.0,59.607,1447.981
Pakistan,10/13/2020,320463,423.031,6601.0,59.607,1450.766
Pakistan,10/14/2020,321218,423.031,6614.0,59.607,1454.184
Pakistan,10/15/2020,321877,423.031,6621.0,59.607,1457.167
Pakistan,10/16/2020,322452,423.031,6638.0,59.607,1459.77
Pakistan,10/17/2020,323019,423.031,6654.0,59.607,1462.337
Pakistan,10/18/2020,323452,423.031,6659.0,59.607,1464.297
Pakistan,10/19/2020,324034,423.031,6673.0,59.607,1466.932
Pakistan,10/20/2020,324744,423.031,6692.0,59.607,1470.146
Pakistan,10/21/2020,325480,423.031,6702.0,59.607,1473.478
Pakistan,10/22/2020,326216,423.031,6715.0,59.607,1476.81
Pakistan,10/23/2020,327063,423.031,6727.0,59.607,1480.644
Pakistan,10/24/2020,327895,423.031,6736.0,59.607,1484.411
Pakistan,10/25/2020,328602,423.031,6739.0,59.607,1487.612
Pakistan,10/26/2020,329375,423.031,6745.0,59.607,1491.111
Pakistan,10/27/2020,330200,423.031,6759.0,59.607,1494.846
Pakistan,10/28/2020,331108,423.031,6775.0,59.607,1498.957
Pakistan,10/29/2020,332186,423.031,6795.0,59.607,1503.837
Pakistan,10/30/2020,332993,423.031,6806.0,59.607,1507.49
Pakistan,10/31/2020,333970,423.031,6823.0,59.607,1511.913
Pakistan,11/1/2020,335093,423.031,6835.0,59.607,1516.997
Pakistan,11/2/2020,336260,423.031,6849.0,59.607,1522.28
Pakistan,11/3/2020,337573,423.031,6867.0,59.607,1528.224
Pakistan,11/4/2020,338875,423.031,6893.0,59.607,1534.118
Pakistan,11/5/2020,340251,423.031,6923.0,59.607,1540.348
Pakistan,11/6/2020,341753,423.031,6943.0,59.607,1547.147
Pakistan,11/7/2020,343189,423.031,6968.0,59.607,1553.648
Pakistan,11/8/2020,344839,423.031,6977.0,59.607,1561.118
Pakistan,11/9/2020,346476,423.031,7000.0,59.607,1568.529
Pakistan,11/10/2020,348184,423.031,7021.0,59.607,1576.261
Pakistan,11/11/2020,349992,423.031,7055.0,59.607,1584.446
Pakistan,11/12/2020,352296,423.031,7092.0,59.607,1594.877
Pakistan,11/13/2020,354461,423.031,7109.0,59.607,1604.678
Pakistan,11/14/2020,356904,423.031,7141.0,59.607,1615.737
Pakistan,11/15/2020,359032,423.031,7160.0,59.607,1625.371
Pakistan,11/16/2020,361082,423.031,7193.0,59.607,1634.652
Pakistan,11/17/2020,363380,423.031,7230.0,59.607,1645.055
Pakistan,11/18/2020,365927,423.031,7248.0,59.607,1656.585
Pakistan,11/19/2020,368665,423.031,7561.0,59.607,1668.981
Pakistan,11/20/2020,371508,423.031,7603.0,59.607,1681.851
Pakistan,11/21/2020,374173,423.031,7662.0,59.607,1693.916
Pakistan,11/22/2020,376929,423.031,7696.0,59.607,1706.392
Pakistan,11/23/2020,379883,423.031,7744.0,59.607,1719.765
Pakistan,11/24/2020,382892,423.031,7803.0,59.607,1733.387
Pakistan,11/25/2020,386198,423.031,7843.0,59.607,1748.354
Pakistan,11/26/2020,389311,423.031,7897.0,59.607,1762.447
Pakistan,11/27/2020,392356,423.031,7942.0,59.607,1776.232
Pakistan,11/28/2020,395185,423.031,7985.0,59.607,1789.039
Pakistan,11/29/2020,398024,423.031,8025.0,59.607,1801.891
Pakistan,11/30/2020,400482,423.031,8091.0,59.607,1813.019
Pakistan,12/1/2020,403311,423.031,8166.0,59.607,1825.826
Pakistan,12/2/2020,406810,423.031,8205.0,59.607,1841.666
Pakistan,12/3/2020,410072,423.031,8260.0,59.607,1856.434
Pakistan,12/4/2020,413191,423.031,8303.0,59.607,1870.554
Pakistan,12/5/2020,416499,423.031,8361.0,59.607,1885.529
Pakistan,12/6/2020,420294,423.031,8398.0,59.607,1902.71
Pakistan,12/7/2020,423179,423.031,8487.0,59.607,1915.77
Pakistan,12/8/2020,426142,423.031,8547.0,59.607,1929.184
Pakistan,12/9/2020,429280,423.031,8603.0,59.607,1943.39
Pakistan,12/10/2020,432327,423.031,8653.0,59.607,1957.184
Pakistan,12/11/2020,435056,423.031,8724.0,59.607,1969.539
Pakistan,12/12/2020,438425,423.031,8796.0,59.607,1984.79
Pakistan,12/13/2020,440787,423.031,8832.0,59.607,1995.483
Pakistan,12/14/2020,443246,423.031,8905.0,59.607,2006.616
Pakistan,12/15/2020,445977,423.031,9010.0,59.607,2018.979
Pakistan,12/16/2020,448522,423.031,9080.0,59.607,2030.501
Pakistan,12/17/2020,451494,423.031,9164.0,59.607,2043.955
Pakistan,12/18/2020,454673,423.031,9250.0,59.607,2058.347
Pakistan,12/19/2020,457288,423.031,9330.0,59.607,2070.185
Pakistan,12/20/2020,458968,423.031,9392.0,59.607,2077.791
Pakistan,12/21/2020,460672,423.031,9474.0,59.607,2085.505
Pakistan,12/22/2020,462814,423.031,9557.0,59.607,2095.202
Pakistan,12/23/2020,465070,423.031,9668.0,59.607,2105.415
Pakistan,12/24/2020,467222,423.031,9753.0,59.607,2115.157
Pakistan,12/25/2020,469482,423.031,9816.0,59.607,2125.388
Pakistan,12/26/2020,471335,423.031,9874.0,59.607,2133.777
Pakistan,12/27/2020,473309,423.031,9929.0,59.607,2142.714
Pakistan,12/28/2020,475085,423.031,9992.0,59.607,2150.754
Pakistan,12/29/2020,477240,423.031,10047.0,59.607,2160.51
Pakistan,12/30/2020,479715,423.031,10105.0,59.607,2171.714
Pakistan,12/31/2020,482178,423.031,10176.0,59.607,2182.864
Pakistan,1/1/2021,484362,423.031,10258.0,59.607,2192.752
Pakistan,1/2/2021,486634,423.031,10311.0,59.607,2203.037
Pakistan,1/3/2021,488529,423.031,10350.0,59.607,2211.616
Pakistan,1/4/2021,490476,423.031,10409.0,59.607,2220.43
Pakistan,1/5/2021,492594,423.031,10461.0,59.607,2230.019
Pakistan,1/6/2021,495075,423.031,10511.0,59.607,2241.25
Pakistan,1/7/2021,497510,423.031,10558.0,59.607,2252.274
Pakistan,1/8/2021,499517,423.031,10598.0,59.607,2261.36
Pakistan,1/9/2021,502416,423.031,10644.0,59.607,2274.484
Pakistan,1/10/2021,504293,423.031,10676.0,59.607,2282.981
Pakistan,1/11/2021,506701,423.031,10717.0,59.607,2293.882
Pakistan,1/12/2021,508824,423.031,10772.0,59.607,2303.493
Pakistan,1/13/2021,511921,423.031,10818.0,59.607,2317.514
Pakistan,1/14/2021,514338,423.031,10863.0,59.607,2328.456
Pakistan,1/15/2021,516770,423.031,10908.0,59.607,2339.466
Pakistan,1/16/2021,519291,423.031,10951.0,59.607,2350.878
Pakistan,1/17/2021,521211,423.031,10997.0,59.607,2359.57
Pakistan,1/18/2021,523011,423.031,11055.0,59.607,2367.719
Pakistan,1/19/2021,524783,423.031,11103.0,59.607,2375.741
Pakistan,1/20/2021,527146,423.031,11157.0,59.607,2386.439
Pakistan,1/21/2021,528891,423.031,11204.0,59.607,2394.338
Pakistan,1/22/2021,530818,423.031,11247.0,59.607,2403.062
Pakistan,1/23/2021,532412,423.031,11295.0,59.607,2410.278
Pakistan,1/24/2021,534041,423.031,11318.0,59.607,2417.653
Pakistan,1/25/2021,535914,423.031,11376.0,59.607,2426.132
Pakistan,1/26/2021,537477,423.031,11450.0,59.607,2433.208
Pakistan,1/27/2021,539387,423.031,11514.0,59.607,2441.855
Pakistan,1/28/2021,541031,423.031,11560.0,59.607,2449.297
Pakistan,1/29/2021,543214,423.031,11623.0,59.607,2459.18
Pakistan,1/30/2021,544813,423.031,11657.0,59.607,2466.419
Pakistan,1/31/2021,546428,423.031,11683.0,59.607,2473.73
Pakistan,2/1/2021,547648,423.031,11746.0,59.607,2479.253
Pakistan,2/2/2021,549032,423.031,11802.0,59.607,2485.519
Pakistan,2/3/2021,550540,423.031,11833.0,59.607,2492.345
Pakistan,2/4/2021,551842,423.031,11886.0,59.607,2498.24
Pakistan,2/5/2021,553128,423.031,11914.0,59.607,2504.062
Pakistan,2/6/2021,554474,423.031,11967.0,59.607,2510.155
Pakistan,2/7/2021,555511,423.031,12026.0,59.607,2514.85
Pakistan,2/8/2021,556519,423.031,12066.0,59.607,2519.413
Pakistan,2/9/2021,557591,423.031,12128.0,59.607,2524.266
Pakistan,2/10/2021,559093,423.031,12185.0,59.607,2531.066
Pakistan,2/11/2021,560363,423.031,12218.0,59.607,2536.815
Pakistan,2/12/2021,561625,423.031,12276.0,59.607,2542.528
Pakistan,2/13/2021,563029,423.031,12307.0,59.607,2548.884
Pakistan,2/14/2021,564077,423.031,12333.0,59.607,2553.629
Pakistan,2/15/2021,564077,423.031,12333.0,59.607,2553.629
Pakistan,2/16/2021,565989,423.031,12436.0,59.607,2562.285
Pakistan,2/17/2021,567261,423.031,12488.0,59.607,2568.043
Pakistan,2/18/2021,568506,423.031,12527.0,59.607,2573.679
Pakistan,2/19/2021,569846,423.031,12563.0,59.607,2579.746
Pakistan,2/20/2021,571174,423.031,12601.0,59.607,2585.757
Pakistan,2/21/2021,572334,423.031,12617.0,59.607,2591.009
Pakistan,2/22/2021,573384,423.031,12658.0,59.607,2595.762
Pakistan,2/23/2021,574580,423.031,12708.0,59.607,2601.177
Pakistan,2/24/2021,575941,423.031,12772.0,59.607,2607.338
Pakistan,2/25/2021,577482,423.031,12804.0,59.607,2614.314
Pakistan,2/26/2021,578797,423.031,12837.0,59.607,2620.268
Pakistan,2/27/2021,579973,423.031,12860.0,59.607,2625.591
Pakistan,2/28/2021,581365,423.031,12896.0,59.607,2631.893
Pakistan,3/1/2021,582528,423.031,12938.0,59.607,2637.158
Pakistan,3/2/2021,583916,423.031,13013.0,59.607,2643.442
Pakistan,3/3/2021,585435,423.031,13076.0,59.607,2650.318
Pakistan,3/4/2021,587014,423.031,13128.0,59.607,2657.467
Pakistan,3/5/2021,588728,423.031,13166.0,59.607,2665.226
Pakistan,3/6/2021,590508,423.031,13205.0,59.607,2673.284
Pakistan,3/7/2021,592100,423.031,13227.0,59.607,2680.491
Pakistan,3/8/2021,593453,423.031,13281.0,59.607,2686.617
Pakistan,3/9/2021,595239,423.031,13324.0,59.607,2694.702
Pakistan,3/10/2021,597497,423.031,13377.0,59.607,2704.924
Pakistan,3/11/2021,600198,423.031,13430.0,59.607,2717.152
Pakistan,3/12/2021,602536,423.031,13476.0,59.607,2727.736
Pakistan,3/13/2021,605200,423.031,13508.0,59.607,2739.796
Pakistan,3/14/2021,607453,423.031,13537.0,59.607,2749.996
Pakistan,3/15/2021,609964,423.031,13595.0,59.607,2761.363
Pakistan,3/16/2021,612315,423.031,13656.0,59.607,2772.007
Pakistan,3/17/2021,615810,423.031,13717.0,59.607,2787.829
Pakistan,3/18/2021,619259,423.031,13757.0,59.607,2803.443
Pakistan,3/19/2021,623135,423.031,13799.0,59.607,2820.99
Pakistan,3/20/2021,626802,423.031,13843.0,59.607,2837.591
Pakistan,3/21/2021,630471,423.031,13863.0,59.607,2854.2
Pakistan,3/22/2021,633741,423.031,13935.0,59.607,2869.004
Pakistan,3/23/2021,637042,423.031,13965.0,59.607,2883.948
Pakistan,3/24/2021,640988,423.031,14028.0,59.607,2901.812
